LCDataDictionary_full
LoanStatNew,Description,포함 여부,평가
acc_now_delinq,The number of accounts on which the borrower is now delinquent. 차용인이 현재 연체된 계좌의 수.,O,연체 계좌 개수
acc_open_past_24mths,Number of trades opened in past 24 months. 지난 24개월 동안 열린 거래 수.,O,신용도의 정확도와 관련있을 듯 
addr_state,The state provided by the borrower in the loan application,X,"위치는 소득과는 관련이 있을 가능성, but income 변수가 제시되므로 필요 없음"
all_util,Balance to credit limit on all trades,O,신용한도까지 남은 액수 -> 그동안 대출을 얼마나 했는지와 관련
annual_inc,The self-reported annual income provided by the borrower during registration.,O,소득(개인)
annual_inc_joint,The combined self-reported annual income provided by the co-borrowers during registration,O,소득(joint)
application_type,Indicates whether the loan is an individual application or a joint application with two co-borrowers,O,위의 소득 지표 중 어떤 것을 사용하는지를 결정하는 변수이므로 포함
avg_cur_bal,Average current balance of all accounts,O,통장 잔고 당연히 포함
bc_open_to_buy,Total open to buy on revolving bankcards.,O,신용카드 한도 잔액
bc_util,Ratio of total current balance to high credit/credit limit for all bankcard accounts.,O,총 잔고 / 총 신용카드 한도
chargeoff_within_12_mths,Number of charge-offs within 12 months,O,대손 처리 건수
collection_recovery_fee,post charge off collection fee,O,대손 후 추심 처리 비용 -> 수익률에 영향을 미침
collections_12_mths_ex_med,Number of collections in 12 months excluding medical collections,O,1년 간 채권 추심 횟수 (의료 관련 추심 흔하므로 제외)
delinq_2yrs,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years,O,2년간 30일 이상 연체 횟수
delinq_amnt,The past-due amount owed for the accounts on which the borrower is now delinquent.,O,연체금 중 아직 갚지 못한 금액 
desc,Loan description provided by the borrower,O,대출 관련 설명 -> 근데 데이터화를 어떻게 할지 모르겠음
dti,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income.",O,월 상환액/월급 비율
dti_joint,"A ratio calculated using the co-borrowers' total monthly payments on the total debt obligations, excluding mortgages and the requested LC loan, divided by the co-borrowers' combined self-reported monthly income",O,월 상환액/월급 비율 joint
earliest_cr_line,The month the borrower's earliest reported credit line was opened,O,처음으로 신용 거래를 시작한 달(+연)
emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years.,O,근속연수
